[2022-03-06T10:17:57.775] [INFO] app - 0fb0bd2a-5927-4e36-ac36-7795a9fd908b - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:19:15.270] [INFO] app - 78ade2ac-5408-48e9-b9fe-14e57e0dc50f - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:19:15.284] [INFO] app - 37da0875-bd99-4dad-b302-7b945791defa - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:19:32.723] [INFO] app - fec5d01f-d2d4-4a8b-a90c-dda045f49579 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:19:32.737] [INFO] app - 0e5167ac-8e25-4b93-9f8e-f52f5179b2f1 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:20:46.611] [INFO] app - 7158ded2-f61c-46e7-bf16-87e04202ed22 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:20:46.618] [INFO] app - 4168dffe-f28d-49ec-a555-2f50e43c60aa - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:22:57.881] [INFO] app - 01f7e697-6f80-479b-9ec4-1b4eee00a028 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:22:58.004] [INFO] app - 2a8a399a-30a4-4078-b7b8-fd21445a3dea - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:25:44.863] [INFO] app - 2b89f08f-28d2-4604-8a14-0859eb9f4f67 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:25:44.869] [INFO] app - a912626e-6f9b-4ed3-a823-a5d4161278b4 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:30:23.347] [INFO] app - 658464f7-fc1f-4048-9f63-09cc2b79c7fd - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:30:23.355] [INFO] app - 0a51ca3e-2317-43cb-85b9-bf0e28b5befa - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:30:25.868] [INFO] app - 7942b708-d46a-4d9d-981f-4ee4f848d0ea - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:30:25.874] [INFO] app - 45e747e0-989b-4861-9653-c3ee31e1e541 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:30:43.119] [INFO] app - e484b3b8-e2cf-43e7-9856-77afd01464dd - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:30:43.125] [INFO] app - e0639ad6-bf81-44d6-b9f5-e962a24124d5 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:32:17.913] [INFO] app - ca3466f3-86f4-49d4-82ee-33f540945712 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:32:17.921] [INFO] app - eb7385fd-1c09-4579-a317-d8187f8dfd65 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:32:29.478] [INFO] app - 3118fb91-b1a8-442c-8097-5a25afe7966f - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:32:29.490] [INFO] app - 9d9a204d-af5a-4e1e-b1df-7cf1568679c9 - INFO - inbound request - list usergroups - Success retrieving  data - 4
